Location,Dates and Times,Project Name / Agency,Description of Traffic Impacts
SODO,October 2017 to 2026 PROJECT PAUSED,Center City Connector Streetcar,"The Center City Connector is a segment of Seattle's streetcar system that will link the South Lake Union and First Hill Streetcar lines, creating a system that will connect over a dozen Seattle neighborhoods in Seattle's Center City. Crew will relocate water, electric, and sewer utilities along 1st Ave between Madison and Stewart St. and along Stewart St. between 1st Ave and Westlake Ave. Expect lane reductions, reduced parking spots, and nighttime intersection closures. Timeline: 2019: Council appropriates $9M to streetcar design 2020: Q1: Streetcar design Q4: Update scope, cost estimate, schedule and funding 2021: Finalize design & start vehicle procurement 2022: Construction 2025: Streetcar testing 2026: Start operating Streetcar network"
Downtown,August 2019 to 2023,Waterfront Seattle,"The City of Seattle is rebuilding Seattle’s central waterfront. Once removal of the Alaskan Way Viaduct is complete, the City will construct a park promenade along the water, construct a new surface street along Alaskan Way, rebuild Pier 58 and Pier 62, build an elevated connection from Pike Place Market to the waterfront, and improve east-west connections between downtown and Elliott Bay. This effort, called Waterfront Seattle, is a $724M, multi-year investment between now and 2023. It is led by the City of Seattle’s Office of the Waterfront and Civic Projects."
Downtown,"December 2, 2019 through 2022 24/7",Waterfront Seattle,Crews will intermittently close lanes on Elliot Ave and Western Ave between Bell St. and Blanchard St. for Waterfront construction. 24/7.
Downtown,March 2019 to Early 2023,Waterfront Seattle,"The pedestrian bridge that runs along Marion St. between Colman Dock and 1st Ave has been partially dismantled as part of the Alaskan Way Viaduct Demolition. A new ""temporary"" pedestrian bridge has been built between Colman Dock and the existing pedestrian bridge on a new route along Columbia St. and Western Ave. This new, temporary bridge will be in place until the City of Seattle builds a permanent pedestrian bridge on Marion St., scheduled to open in 2023."
Downtown,May 26 to December 2020 24/7,Waterfront Seattle,S Main St. closed between Alaskan Way S and 1st Ave S for waterfront construction. 24/7.
Downtown,November 5 through 2024 24/7,Waterfront Seattle,"Crews will intermittently reduce lanes on S King St., S Jackson St., S Main St. and S Washington St. between Alaskan Way S and 1st Ave S for waterfront construction. In addition, on Yesler Way between Alaskan Way and Western Ave. 24/7."
SODO,August 2019 to 2023,Waterfront Seattle,"The City of Seattle is rebuilding Seattle’s central waterfront. Once removal of the Alaskan Way Viaduct is complete, the City will construct a park promenade along the water, construct a new surface street along Alaskan Way, rebuild Pier 58 and Pier 62, build an elevated connection from Pike Place Market to the waterfront, and improve east-west connections between downtown and Elliott Bay. This effort, called Waterfront Seattle, is a $724M, multi-year investment between now and 2023. It is led by the City of Seattle’s Office of the Waterfront and Civic Projects."
SODO,"December 2, 2019 through 2022 24/7",Waterfront Seattle,Crews will intermittently close lanes on Elliot Ave and Western Ave between Bell St. and Blanchard St. for Waterfront construction. 24/7.
SODO,March 2019 to Early 2023,Waterfront Seattle,"The pedestrian bridge that runs along Marion St. between Colman Dock and 1st Ave has been partially dismantled as part of the Alaskan Way Viaduct Demolition. A new ""temporary"" pedestrian bridge has been built between Colman Dock and the existing pedestrian bridge on a new route along Columbia St. and Western Ave. This new, temporary bridge will be in place until the City of Seattle builds a permanent pedestrian bridge on Marion St., scheduled to open in 2023."
SODO,May 26 to December 2020 24/7,Waterfront Seattle,S Main St. closed between Alaskan Way S and 1st Ave S for waterfront construction. 24/7.
SODO,November 5 through 2024 24/7,Waterfront Seattle,"Crews will intermittently reduce lanes on S King St., S Jackson St., S Main St. and S Washington St. between Alaskan Way S and 1st Ave S for waterfront construction. In addition, on Yesler Way between Alaskan Way and Western Ave. 24/7."
I-5,May 2021 to Summer 2023,I-5 - SB from I-90 to S. Spokane St. - Deck Overlay & Expansion Joints,"WSDOT roadway restoration project on southbound I-5 from I-90 to S. Spokane St. Project will replace 23 expansion joints on I-5, replace expansion joints on westbound I-90 over I-5, and rehabilitate 1.25 miles of southbound I-5. Work will take place at night and on weekends. Project is expected to last two years."
I-90,May 2021 to Summer 2023,I-5 - SB from I-90 to S. Spokane St. - Deck Overlay & Expansion Joints,"WSDOT roadway restoration project on southbound I-5 from I-90 to S. Spokane St. Project will replace 23 expansion joints on I-5, replace expansion joints on westbound I-90 over I-5, and rehabilitate 1.25 miles of southbound I-5. Work will take place at night and on weekends. Project is expected to last two years."
Downtown,June 2021 to Winter 2022,I-5 - NB Seneca to SR520 - Mobility Improvements project,"WSDOT project to improve the mobility along a 2.5-mile stretch of northbound I-5 from Yesler Way to Lakeview Blvd. Project improvements include 3 through lanes between Seneca St. and the Washington State Convention Center, new ramp meters, and an advance signing system to warn drivers of incidents that block lanes. Work will take place at night. Project is expected to last a year and a half."
I-5,June 2021 to Winter 2022,I-5 - NB Seneca to SR520 - Mobility Improvements project,"WSDOT project to improve the mobility along a 2.5-mile stretch of northbound I-5 from Yesler Way to Lakeview Blvd. Project improvements include 3 through lanes between Seneca St. and the Washington State Convention Center, new ramp meters, and an advance signing system to warn drivers of incidents that block lanes. Work will take place at night. Project is expected to last a year and a half."
I-5,Summer 2021 to 2024,SR520 - I-5 Express Lanes Connection project,"This WSDOT project will create a dedicated, reversible transit and carpool connection between SR 520 and the I-5 express lanes, along with a reversible transit/carpool ramp at the I-5/Mercer Street interchange."
SR520,Summer 2021 to 2024,SR520 - I-5 Express Lanes Connection project,"This WSDOT project will create a dedicated, reversible transit and carpool connection between SR 520 and the I-5 express lanes, along with a reversible transit/carpool ramp at the I-5/Mercer Street interchange."
I-5,June 2020 to Spring 2022,SR522 I-5 to 61st Ave NE Paving & ADA Compliance,"Beginning in summer 2020, WSDOT contractor crews will repave the following areas on SR522: - Both directions between the I-5 interchange and SR522 / NE 145th St. in Seattle. - Both directions between 58th Ave NE and 61st Ave NE in Kenmore. - A total of 154 curb ramps between the sidewalk and streets. - The I-5 off- and on-ramps in Seattle. In addition, WSDOT is working with SDOT to make pedestrian improvements at four locations along the highway. Most of the work will take place at night will require lane reductions. Some daytime work also could include lane reductions but will be scheduled to avoid peak hour, peak direction traffic."
Northeast,June 2020 to Spring 2022,SR522 I-5 to 61st Ave NE Paving & ADA Compliance,"Beginning in summer 2020, WSDOT contractor crews will repave the following areas on SR522: - Both directions between the I-5 interchange and SR522 / NE 145th St. in Seattle. - Both directions between 58th Ave NE and 61st Ave NE in Kenmore. - A total of 154 curb ramps between the sidewalk and streets. - The I-5 off- and on-ramps in Seattle. In addition, WSDOT is working with SDOT to make pedestrian improvements at four locations along the highway. Most of the work will take place at night will require lane reductions. Some daytime work also could include lane reductions but will be scheduled to avoid peak hour, peak direction traffic."
SODO,Summer 2021 to Fall 2022,SR99 South Access - Surface Street Connections project,"This WSDOT project completes final roadway work around the south portal of the SR99 Tunnel, and builds new pedestrian and bicycle amenities that connect Seattle’s stadiums with the waterfront. The work includes paving portions of 1st Ave. S. and S. Dearborn St, and turning Railroad Way S. into a pedestrian plaza."
Downtown,"Saturdays October 10, 2020 to May 15, 2021",400 University @ Rainier Square 400 University St.,"4th Ave reduced by one lane from University St. to Union St. & University St. reduced by one lane from 5th Ave to 4th Ave for construction at 400 University St. Saturdays, 5AM - 5PM."
Downtown,Summer 2020 to Mid-2021,400 University @ Rainier Square 400 University St.,"10-story mixed office and retail building with underground parking. Opening Mid-2021. Intermittent sidewalk, curb lane, and traffic lane closures on 4th Ave and University St."
South Lake Union,March 2019 to March 2021 24/7,700 Dexter Ave N Dexter Yard,14-story development for retail and office space. Opening mid 2021. Intermittent sidewalk closures on Dexter and Roy. East bound and south sidewalk on Valley closed 24/7.
South Lake Union,January 2018 to June 2020 24/7 ON-HOLD,1120 Denny Way,"41-story condominium towers with 1,179 units. Opening 2020. Intermittent sidewalk, curb lane, and traffic lane closures on block boarded by Boren Ave N, John St, Fairview Ave N, and Denny Way (John St. closed 24/7 between Boren Ave N and Fairview Ave N)."
South,November 30 to early 2022,Pearl Street Drainage Improvement Project.,"This is a SPU project to increase the capacity of the combined sewer system in the Pearl St. area. SPU has closed S Dawson St. between Corson Ave S and 12th Ave S. This closure will be from Nov 2020 through Late 2021. Local access will be provided, but thru traffic will be detoured around the construction site."
East,October 2019 to March 2021 24/7,Yesler Terrace 911 Alder St.,"Street restoration, curb work, and asphalt laying to occur along 9th Ave. 24/7. Crews will close 9th Ave between Alder St. and Fir St. and close Alder St. between 9th Ave and Terry Ave for trench work."
South Lake Union,May 2018 to January 2022,215 1st Ave N,"5-story building containing 71 small efficiency dwelling units and two live-work units. 1st Ave N between John St. and Thomas St.: West sidewalk and parking lane available for deliveries, Mon - Fri."
Downtown,Winter 2020 to 2023,Sound Transit Connect 2020: Connecting the Blue Line to existing Link service.,"Link light rail is coming to the Eastside. When the Blue Line opens in 2023, 10 new stations in Redmond, Bellevue, Mercer Island and Judkins Park will connect all the way to Northgate. For 10 weeks in 2020, from January to mid-March, parts of the International District / Chinatown Station will close so crews can build a new track junction that will connect the current Link tracks to the new Blue Line tracks. The connection will allow Blue and Red line trains to run together and combine for peak service every four minutes from Northgate to the International District."
East,Winter 2020 to 2023,Sound Transit Connect 2020: Connecting the Blue Line to existing Link service.,"Link light rail is coming to the Eastside. When the Blue Line opens in 2023, 10 new stations in Redmond, Bellevue, Mercer Island and Judkins Park will connect all the way to Northgate. For 10 weeks in 2020, from January to mid-March, parts of the International District / Chinatown Station will close so crews can build a new track junction that will connect the current Link tracks to the new Blue Line tracks. The connection will allow Blue and Red line trains to run together and combine for peak service every four minutes from Northgate to the International District."
North,Winter 2020 to 2023,Sound Transit Connect 2020: Connecting the Blue Line to existing Link service.,"Link light rail is coming to the Eastside. When the Blue Line opens in 2023, 10 new stations in Redmond, Bellevue, Mercer Island and Judkins Park will connect all the way to Northgate. For 10 weeks in 2020, from January to mid-March, parts of the International District / Chinatown Station will close so crews can build a new track junction that will connect the current Link tracks to the new Blue Line tracks. The connection will allow Blue and Red line trains to run together and combine for peak service every four minutes from Northgate to the International District."
SODO,Winter 2020 to 2023,Sound Transit Connect 2020: Connecting the Blue Line to existing Link service.,"Link light rail is coming to the Eastside. When the Blue Line opens in 2023, 10 new stations in Redmond, Bellevue, Mercer Island and Judkins Park will connect all the way to Northgate. For 10 weeks in 2020, from January to mid-March, parts of the International District / Chinatown Station will close so crews can build a new track junction that will connect the current Link tracks to the new Blue Line tracks. The connection will allow Blue and Red line trains to run together and combine for peak service every four minutes from Northgate to the International District."
I-90,December 2018 to 2023,Sound Transit East Link Extension Judkins Park,"The station is located in the center of I-90. Riders can enter from either Rainier Ave S or 23rd Ave S. The nearby I-90 trail as well as local bus transfers make it easy to connect to the light rail for transit riders, people walking and cycling."
I-90,December 2018 to late 2020,Sound Transit East Link Extension Judkins Park,"Crews will close the Rainier Ave HOV lanes at I-90 for up to two years to accommodate East Link Station construction. Bus stops will remain open, sidewalks may close intermittently but one sidewalk will remain open at all times."
Northeast,August 2019 through 2023,Sound Transit Northgate Link Extension Project Lynnwood Station,"After the Northgate extension opens in 2021, the Lynnwood Link Extension extends light trail into Snohomish County, serving four stations, Shoreline South / 145th, Shoreline North / 185th, Mountlake Terrace and Lynnwood City Center. Upon opening in 2024, riders enjoy fast, frequent and reliable service between south Snohomish County and the University of Washington, downtown Seattle, the Eastside, Sea-Tac Airport and more."
Northeast,August 12 to Fall of 2022,Sound Transit Northgate Link Extension Project Lynnwood Station,"Crews will close 5th Ave NE between NE 130th St. and NE 145th St, southbound lanes from NE 130th St. and NE 125th St. will be closed. All northbound and southbound lanes will be closed to traffic 24 hours a day between NE 131st St. and NE 145th St. Both NE 130th St. and NE 145th St. I-5 off-ramps will remain open."
Northeast,August 2019 to Early 2023,SR520 Montlake Project,"The SR520 Montlake Project is the first phase of SR520's Rest of the West, a suite of projects that will reconstruct the highways east/west segment between Lake Washington and Interstate 5 in Seattle. The first phase constructs new eastbound lanes between Montlake Boulevard East and the new floating bridge, builds a new Montlake community-connecting lid and transit hub, rebuilds the Montlake Boulevard interchange, and constructs a bike and pedestrian bridge over SR520."
SR520,August 2019 to Early 2023,SR520 Montlake Project,"The SR520 Montlake Project is the first phase of SR520's Rest of the West, a suite of projects that will reconstruct the highways east/west segment between Lake Washington and Interstate 5 in Seattle. The first phase constructs new eastbound lanes between Montlake Boulevard East and the new floating bridge, builds a new Montlake community-connecting lid and transit hub, rebuilds the Montlake Boulevard interchange, and constructs a bike and pedestrian bridge over SR520."
Downtown,August 2017 to 2022,Washington State Convention Center Addition Project 1600 9th Ave,"The Washington State Convention Center will build an additional facility on the site bordered by Pine and Howell Streets, and 9th and Boren Avenues. The new addition will open in 2022."
Downtown,August 2017 to 2023,Washington State Ferries - Seattle Multimodal Terminal at Colman Dock Project,Washington State Ferries is replacing the aging and seismically vulnerable parts of Colman Dock in Seattle in order to maintain its critical role as a regional multimodal transportation hub. Key project elements include: Replacing the existing timber trestle portion of the dock with a new concrete and steel trestle; Replacing the main terminal building; Replacing the passenger-only ferry facility on the south edge of Colman Dock; Constructing a new elevated walkway between the terminal building and the passenger-only ferry facility; Replacing the overhead loading facility on the northernmost slip; Adding a bicycle entry and holding area north of Marion Street; Maintaining an elevated connection between the terminal building and the Marion St. Bridge; Providing stairs and elevators to connect the facility to Alaskan Way.
Downtown,1-Jul-18,Washington State Ferries - Seattle Multimodal Terminal at Colman Dock Project,Starting July 1 the drive-on entrance to Coleman Dock will move from Madison St. & Alaskan Way to S Jackson St. & Alaskan Way.
SODO,21-May,Boris Brejcha concert,"At WAMU Theater. Doors at 7PM, concert at 8PM."
SODO,20-May,Dillon Francis & Flosstradamus concert,"At WAMU Theater. Doors at 6PM, concert at 7PM."
SR520,2-Jun,EB SR520 closed between I-5 and the Eastside,Eastbound SR520 will be closed Thursday night between I-5 and the Eastside during large concrete pours. 11PM Thursday to 5AM Friday.
South,May 20 - 23,EB SW Spokane St. on-ramp to the Spokane St. Viaduct closed,"The eastbound SW Spokane St. on-ramp to the Spokane St. Viaduct will be closed over the weekend while crews install new expansion joints. In addition, one eastbound lane of the Spokane St. Viaduct will be closed. A signed detour will be in place. 9PM Friday to 5AM Monday."
I-5,June 3 - 6,Full closure I-5 Express Lanes,The I-5 Express Lanes will be fully closed over the weekend during the installation of concrete structures. 8:30PM Friday to 4:30AM Monday.
East,May 20 - 23,Full closure of Montlake Bridge,"The Montlake Bridge will be closed in both directions this weekend. In addition, the westbound SR520 off-ramp to Montlake Blvd. will be closed. At least one sidewalk across the bridge will remain open to accommodate pedestrians and bicyclists. 11PM Friday to 5AM Monday."
Northeast,May 20 - 23,Full closure of Montlake Bridge,"The Montlake Bridge will be closed in both directions this weekend. In addition, the westbound SR520 off-ramp to Montlake Blvd. will be closed. At least one sidewalk across the bridge will remain open to accommodate pedestrians and bicyclists. 11PM Friday to 5AM Monday."
SR520,May 20 - 23,Full closure of Montlake Bridge,"The Montlake Bridge will be closed in both directions this weekend. In addition, the westbound SR520 off-ramp to Montlake Blvd. will be closed. At least one sidewalk across the bridge will remain open to accommodate pedestrians and bicyclists. 11PM Friday to 5AM Monday."
SODO,3-Jun,Full closure of SR99 Tunnel,The SR99 Tunnel will be closed in both directions Friday night for tunnel maintenance. 10PM Friday to 6AM Saturday.
South Lake Union,3-Jun,Full closure of SR99 Tunnel,The SR99 Tunnel will be closed in both directions Friday night for tunnel maintenance. 10PM Friday to 6AM Saturday.
SR99,3-Jun,Full closure of SR99 Tunnel,The SR99 Tunnel will be closed in both directions Friday night for tunnel maintenance. 10PM Friday to 6AM Saturday.
